module           : False
lamda            : 256
regularize_to    : other
attack_to        : other
loss_type        : sim
advtrain_type    : Rep
train_type       : contrastive
lr               : 0.1
lr_multiplier    : 15.0
decay            : 1e-06
dataset          : cifar-10
load_checkpoint  : ckpt_200epochs.t7
resume           : True
model            : ResNet18
name             : Run3
seed             : 0
batch_size       : 256
epoch            : 101
color_jitter_strength : 0.5
temperature      : 0.5
local_rank       : 0
ngpu             : 1
min              : 0.0
max              : 1.0
attack_type      : linf
epsilon          : 0.0314
alpha            : 0.007
k                : 7
random_start     : True
==> Preparing data..
Downloading https://www.cs.toronto.edu/~kriz/cifar-10-python.tar.gz to ./Data/cifar-10-python.tar.gz
Extracting ./Data/cifar-10-python.tar.gz to ./Data
Files already downloaded and verified
==> Building model..
torch.Size([1, 512])
ResNet18 is loading ...
Representation attack info ...
Rep_attack_ep_0.0314_alpha_0.007_min_val_0.0_max_val_1.0_max_iters_7_type_linf_randomstart_True
Using CUDA..
Training info...
results/log_Run3Rep_attack_ep_0.0314_alpha_0.007_min_val_0.0_max_val_1.0_max_iters_7_type_linf_randomstart_Truecontrastive_ResNet18_cifar-10_b256_nGPU1_l256_0
Run3Rep_attack_ep_0.0314_alpha_0.007_min_val_0.0_max_val_1.0_max_iters_7_type_linf_randomstart_Truecontrastive_ResNet18_cifar-10_b256_nGPU1_l256

Epoch: 0
 [===========>..........................................................................]  Step: 1s836ms | Tot: 49s610ms | Loss: 10.536 | SimLoss: 10.516 | Adv: 0.02 28/196 
 [============>.........................................................................]  Step: 1s837ms | Tot: 51s447ms | Loss: 10.537 | SimLoss: 10.516 | Adv: 0.02 29/196 
 [============>.........................................................................]  Step: 1s833ms | Tot: 53s281ms | Loss: 10.537 | SimLoss: 10.517 | Adv: 0.02 30/196 
 [=============>........................................................................]  Step: 1s833ms | Tot: 55s115ms | Loss: 10.534 | SimLoss: 10.514 | Adv: 0.02 31/196 
 [=============>........................................................................]  Step: 1s833ms | Tot: 56s949ms | Loss: 10.533 | SimLoss: 10.513 | Adv: 0.02 32/196 
 [==============>.......................................................................]  Step: 1s836ms | Tot: 58s785ms | Loss: 10.534 | SimLoss: 10.513 | Adv: 0.02 33/196 
 [==============>.......................................................................]  Step: 1s835ms | Tot: 1m620ms | Loss: 10.533 | SimLoss: 10.512 | Adv: 0.02 34/196 
 [==============>.......................................................................]  Step: 1s834ms | Tot: 1m2s | Loss: 10.536 | SimLoss: 10.516 | Adv: 0.02 35/196 
 [===============>......................................................................]  Step: 1s836ms | Tot: 1m4s | Loss: 10.534 | SimLoss: 10.514 | Adv: 0.02 36/196 
 [===============>......................................................................]  Step: 1s833ms | Tot: 1m6s | Loss: 10.536 | SimLoss: 10.516 | Adv: 0.02 37/196 
 [================>.....................................................................]  Step: 1s831ms | Tot: 1m7s | Loss: 10.536 | SimLoss: 10.515 | Adv: 0.02 38/196 
 [================>.....................................................................]  Step: 1s829ms | Tot: 1m9s | Loss: 10.535 | SimLoss: 10.515 | Adv: 0.02 39/196 
 [=================>....................................................................]  Step: 1s830ms | Tot: 1m11s | Loss: 10.535 | SimLoss: 10.515 | Adv: 0.02 40/196 
 [=================>....................................................................]  Step: 1s833ms | Tot: 1m13s | Loss: 10.535 | SimLoss: 10.515 | Adv: 0.02 41/196 
 [=================>....................................................................]  Step: 1s830ms | Tot: 1m15s | Loss: 10.534 | SimLoss: 10.514 | Adv: 0.02 42/196 
 [==================>...................................................................]  Step: 1s830ms | Tot: 1m17s | Loss: 10.534 | SimLoss: 10.514 | Adv: 0.02 43/196 
 [==================>...................................................................]  Step: 1s835ms | Tot: 1m18s | Loss: 10.535 | SimLoss: 10.515 | Adv: 0.02 44/196 
 [===================>..................................................................]  Step: 1s833ms | Tot: 1m20s | Loss: 10.535 | SimLoss: 10.515 | Adv: 0.02 45/196 
 [===================>..................................................................]  Step: 1s834ms | Tot: 1m22s | Loss: 10.535 | SimLoss: 10.515 | Adv: 0.02 46/196 
